population_density,people_fully_vaccinated,new_cases
351.873,237992.0,8905.0
351.873,246986.0,7190.0
351.873,0,6877.0
351.873,266555.0,8243.0
351.873,280045.0,8722.0
351.873,284553.0,9193.0
351.873,0,8330.0
351.873,309385.0,7242.0
351.873,0,5667.0
351.873,342705.0,5663.0
351.873,0,6617.0
351.873,421443.0,7713.0
351.873,443796.0,6964.0
351.873,451270.0,7141.0
351.873,0,6836.0
351.873,517113.0,4721.0
351.873,0,4812.0
351.873,0,6365.0
