population_density,people_fully_vaccinated,new_cases
124.027,0,1002.0
124.027,0,910.0
124.027,0,748.0
124.027,0,711.0
124.027,0,974.0
124.027,0,1136.0
124.027,0,1587.0
124.027,0,1584.0
124.027,0,1350.0
124.027,0,1306.0
124.027,0,1326.0
124.027,0,1552.0
124.027,0,1967.0
124.027,0,2292.0
124.027,0,2367.0
124.027,0,1934.0
124.027,0,2006.0
124.027,0,2236.0
124.027,0,3003.0
124.027,0,4280.0
124.027,0,4739.0
124.027,0,5300.0
124.027,0,4178.0
124.027,0,4394.0
124.027,0,5068.0
124.027,0,6526.0
124.027,0,8099.0
124.027,0,7705.0
124.027,0,9622.0
124.027,0,8536.0
124.027,0,7482.0
124.027,0,9291.0
124.027,0,10040.0
124.027,0,12107.0
124.027,0,13632.0
124.027,0,13628.0
124.027,0,11742.0
124.027,0,10241.0
124.027,0,16300.0
124.027,0,18820.0
124.027,0,20156.0
124.027,0,21629.0
124.027,0,21897.0
124.027,0,17171.0
124.027,0,15578.0
124.027,0,19364.0
124.027,0,24692.0
124.027,0,27143.0
124.027,0,27086.0
124.027,0,27875.0
124.027,0,24785.0
124.027,0,21713.0
124.027,0,25454.0
124.027,0,25221.0
124.027,0,22683.0
124.027,0,24051.0
124.027,0,25571.0
124.027,0,21854.0
124.027,0,20816.0
124.027,0,19152.0
124.027,0,19883.0
124.027,0,23975.0
124.027,0,22464.0
124.027,0,24213.0
124.027,0,17856.0
124.027,0,15002.0
124.027,0,32733.0
124.027,0,15356.0
124.027,0,16690.0
124.027,0,17304.0
124.027,0,15177.0
124.027,0,11482.0
124.027,0,5736.0
124.027,0,9113.0
124.027,0,13823.0
124.027,0,14863.0
124.027,0,13236.0
124.027,0,12427.0
124.027,0,9176.0
124.027,0,4421.0
124.027,0,8310.0
124.027,0,12166.0
124.027,0,13750.0
124.027,0,13105.0
124.027,0,11499.0
124.027,0,8976.0
124.027,0,4896.0
124.027,0,6874.0
124.027,0,12455.0
124.027,0,11953.0
124.027,0,11010.0
124.027,0,11246.0
124.027,0,8590.0
124.027,0,4633.0
124.027,0,7192.0
124.027,0,12358.0
124.027,0,13115.0
124.027,0,9081.0
124.027,0,4878.0
124.027,0,3842.0
124.027,0,3211.0
124.027,0,7624.0
124.027,0,12780.0
124.027,0,13464.0
124.027,0,10896.0
124.027,0,7006.0
124.027,0,5782.0
124.027,0,4385.0
124.027,0,7596.0
124.027,0,14220.0
124.027,0,12119.0
124.027,0,8763.0
124.027,0,10744.0
124.027,0,9133.0
124.027,0,4863.0
124.027,0,5394.0
124.027,0,9126.0
124.027,0,9457.0
124.027,0,7958.0
124.027,0,7292.0
124.027,671.0,5970.0
124.027,3468.0,3332.0
124.027,11174.0,4890.0
124.027,24992.0,6943.0
124.027,39686.0,7008.0
124.027,45479.0,6693.0
124.027,46980.0,6431.0
124.027,47721.0,4566.0
124.027,75765.0,2674.0
124.027,123044.0,4603.0
124.027,149779.0,6790.0
124.027,179128.0,7153.0
124.027,195481.0,6145.0
124.027,198478.0,5864.0
124.027,200537.0,4711.0
124.027,233129.0,2504.0
124.027,289190.0,4326.0
124.027,344432.0,6801.0
124.027,395375.0,6495.0
124.027,424730.0,6053.0
124.027,440365.0,5966.0
124.027,450496.0,4725.0
124.027,0,2431.0
124.027,482146.0,3999.0
124.027,0,6960.0
124.027,580607.0,7013.0
124.027,624907.0,6378.0
124.027,640650.0,6585.0
124.027,645971.0,5334.0
124.027,658235.0,2542.0
124.027,691380.0,5176.0
124.027,774060.0,8699.0
124.027,865884.0,9074.0
124.027,916935.0,8772.0
124.027,925682.0,8509.0
124.027,929965.0,7040.0
124.027,934782.0,3891.0
124.027,0,6304.0
124.027,1031518.0,12147.0
124.027,0,12143.0
124.027,1168058.0,11536.0
124.027,0,12097.0
124.027,1186747.0,10101.0
124.027,1192900.0,4786.0
124.027,0,7936.0
124.027,1281179.0,15698.0
124.027,1366648.0,15253.0
124.027,0,15831.0
124.027,1424715.0,14855.0
124.027,0,13569.0
